type,Loc+,Risk-,Effort-,Avg evals,budget,run
sway2,929.875,5.25,22825.0,0.0,5,8
xpln2,1024.25,4.125,18848.125,0.0,5,8
top,1956.625,0.125,21891.125,1000.0,5,8
all,997.3333333333334,5.111111111111111,20124.222222222223,0.0,5,9
sway1,1279.7777777777778,5.666666666666667,22957.88888888889,8.0,5,9
xpln1,986.2222222222222,5.333333333333333,19286.11111111111,8.0,5,9
sway2,940.8888888888889,5.111111111111111,22727.11111111111,0.0,5,9
xpln2,1017.8888888888889,4.222222222222222,19119.666666666668,0.0,5,9
top,1959.6666666666667,0.1111111111111111,21137.333333333332,1000.0,5,9
all,999.6,5.2,20017.0,0.0,5,10
sway1,1241.1,5.5,22123.7,8.0,5,10
xpln1,984.5,5.4,20126.9,8.0,5,10
sway2,910.3,5.8,21907.9,0.0,5,10
xpln2,1019.0,4.2,19069.9,0.0,5,10
top,1961.2,0.1,22466.5,1000.0,5,10
all,1004.9090909090909,5.181818181818182,19962.727272727272,0.0,5,11
sway1,1182.2727272727273,5.0,21469.272727272728,8.0,5,11
xpln1,972.7272727272727,5.636363636363637,20010.636363636364,8.0,5,11
sway2,921.6363636363636,6.0,21147.454545454544,0.0,5,11
xpln2,1024.909090909091,4.2727272727272725,19006.727272727272,0.0,5,11
top,1961.2727272727273,0.09090909090909091,21138.81818181818,1000.0,5,11
all,1002.25,5.166666666666667,19906.583333333332,0.0,5,12
sway1,1116.5,5.083333333333333,20427.333333333332,8.0,5,12
xpln1,984.5833333333334,6.25,20759.416666666668,8.0,5,12
sway2,872.8333333333334,6.0,19937.583333333332,0.0,5,12
xpln2,1030.5,4.416666666666667,19336.416666666668,0.0,5,12
top,1961.3333333333333,0.08333333333333333,20768.416666666668,1000.0,5,12
all,999.0,5.230769230769231,19991.53846153846,0.0,5,13
sway1,1065.923076923077,5.3076923076923075,19843.69230769231,8.0,5,13
xpln1,988.4615384615385,6.153846153846154,20543.23076923077,8.0,5,13
sway2,908.3846153846154,5.923076923076923,20641.76923076923,0.0,5,13
xpln2,1038.923076923077,4.461538461538462,19830.846153846152,0.0,5,13
top,1963.6923076923076,0.07692307692307693,20580.153846153848,1000.0,5,13
all,997.7142857142857,5.214285714285714,19974.285714285714,0.0,5,14
sway1,1052.357142857143,5.285714285714286,18891.64285714286,8.0,5,14
xpln1,994.7142857142857,6.142857142857143,20472.85714285714,8.0,5,14
sway2,879.2857142857143,5.785714285714286,19681.928571428572,0.0,5,14
xpln2,1048.642857142857,4.5,19729.071428571428,0.0,5,14
top,1964.4285714285713,0.07142857142857142,20292.928571428572,1000.0,5,14
all,999.3333333333334,5.2,19956.133333333335,0.0,5,15
sway1,1031.4,5.533333333333333,18964.0,8.0,5,15
xpln1,990.9333333333333,6.133333333333334,20541.8,8.0,5,15
sway2,918.7333333333333,5.6,20943.0,0.0,5,15
xpln2,1043.4666666666667,4.533333333333333,20084.066666666666,0.0,5,15
top,1966.4666666666667,0.06666666666666667,20720.133333333335,1000.0,5,15
all,1003.25,5.1875,19832.5625,0.0,5,16
sway1,1046.1875,6.25,20537.875,8.0,5,16
xpln1,981.1875,6.25,20607.625,8.0,5,16
sway2,894.1875,5.3125,20466.6875,0.0,5,16
xpln2,1039.75,4.6875,20568.6875,0.0,5,16
top,1967.5625,0.0625,19942.875,1000.0,5,16
all,1000.7647058823529,5.176470588235294,19706.823529411766,0.0,5,17
sway1,1034.9411764705883,6.176470588235294,20982.176470588234,8.0,5,17
xpln1,982.5882352941177,6.411764705882353,20793.647058823528,8.0,5,17
sway2,888.4705882352941,5.411764705882353,20786.823529411766,0.0,5,17
xpln2,1041.1176470588234,4.705882352941177,20684.882352941175,0.0,5,17
top,1967.8235294117646,0.058823529411764705,19728.70588235294,1000.0,5,17
