type,Kloc+,Effort-,Defects-,Months-,Avg evals,budget,run
sway1,27.172727272727272,107.0,1073.4545454545455,15.181818181818182,5.0,4,11
xpln1,29.29090909090909,104.27272727272727,1233.3636363636363,15.763636363636364,5.0,4,11
sway2,32.54545454545455,112.41818181818181,1377.1818181818182,17.599999999999998,0.7272727272727273,4,11
xpln2,29.69090909090909,121.34545454545454,1341.1818181818182,17.736363636363635,0.7272727272727273,4,11
top,2.1999999999999997,8.400000000000002,69.0,6.6,93.0,4,11
all,47.5,252.0,2007.0,21.400000000000002,0.0,4,12
sway1,25.741666666666664,102.08333333333333,1019.5833333333334,14.958333333333334,5.0,4,12
xpln1,27.683333333333334,99.58333333333333,1166.1666666666667,15.491666666666667,5.0,4,12
sway2,30.375,106.05,1283.75,17.0,0.6666666666666666,4,12
xpln2,28.825000000000003,116.23333333333333,1286.3333333333333,17.508333333333333,0.6666666666666666,4,12
top,2.1999999999999997,8.400000000000002,69.0,6.599999999999999,93.0,4,12
all,47.5,252.0,2007.0,21.4,0.0,4,13
sway1,24.94615384615384,99.61538461538461,1000.0,14.923076923076923,5.0,4,13
xpln1,26.807692307692307,98.23076923076923,1138.7692307692307,15.43846153846154,5.0,4,13
sway2,29.22307692307692,103.27692307692307,1243.8461538461538,16.807692307692307,0.7692307692307693,4,13
xpln2,29.11538461538462,122.06153846153846,1310.0,17.638461538461538,0.7692307692307693,4,13
top,2.1999999999999997,8.400000000000002,69.0,6.599999999999999,93.0,4,13
all,47.5,252.0,2007.0,21.4,0.0,4,14
sway1,23.749999999999996,94.3,946.8571428571429,14.6,5.0,4,14
xpln1,25.585714285714285,93.78571428571429,1079.0,15.121428571428572,5.0,4,14
sway2,29.457142857142856,100.18571428571428,1246.142857142857,17.092857142857145,0.7142857142857143,4,14
xpln2,28.442857142857147,117.62857142857142,1260.2857142857142,17.407142857142855,0.7142857142857143,4,14
top,2.1999999999999997,8.400000000000002,69.0,6.599999999999999,93.0,4,14
all,47.5,252.0,2007.0,21.399999999999995,0.0,4,15
sway1,28.83333333333333,112.01333333333334,1173.2,15.493333333333334,5.0,4,15
xpln1,25.48,92.33333333333333,1060.9333333333334,15.133333333333335,5.0,4,15
sway2,29.666666666666668,104.83999999999999,1271.0,17.2,0.8,4,15
xpln2,28.680000000000003,121.11999999999999,1284.2,17.493333333333332,0.8,4,15
top,2.1999999999999997,8.400000000000002,69.0,6.599999999999998,93.0,4,15
all,47.5,252.0,2007.0,21.399999999999995,0.0,4,16
sway1,27.437499999999996,107.6375,1118.0,15.275,5.0,4,16
xpln1,24.275,88.9375,1012.75,14.937500000000002,5.0,4,16
sway2,29.85,108.9125,1292.75,17.29375,0.875,4,16
xpln2,28.887500000000003,124.175,1305.125,17.568749999999998,0.875,4,16
top,2.1999999999999997,8.400000000000002,69.0,6.599999999999998,93.0,4,16
all,47.5,252.0,2007.0,21.399999999999995,0.0,4,17
sway1,25.999999999999996,103.54117647058824,1065.8235294117646,15.082352941176469,5.0,4,17
xpln1,23.805882352941175,107.76470588235294,1026.8823529411766,15.323529411764707,5.0,4,17
sway2,32.01176470588236,120.15294117647058,1338.8823529411766,17.511764705882353,0.8235294117647058,4,17
xpln2,29.041176470588237,123.78823529411765,1298.4117647058824,17.570588235294117,0.8235294117647058,4,17
top,2.1999999999999997,8.400000000000002,69.0,6.599999999999998,93.0,4,17
all,47.5,252.0,2007.0,21.39999999999999,0.0,4,18
sway1,24.899999999999995,98.45555555555556,1033.111111111111,15.099999999999998,5.0,4,18
xpln1,23.38888888888889,117.22222222222223,1039.4444444444443,15.594444444444443,5.0,4,18
sway2,31.08888888888889,117.36666666666666,1307.0,17.344444444444445,0.8888888888888888,4,18
xpln2,28.5,127.57777777777778,1292.4444444444443,17.633333333333333,0.8888888888888888,4,18
top,2.2,8.400000000000002,69.0,6.599999999999998,93.0,4,18
all,47.5,252.0,2007.0,21.39999999999999,0.0,4,19
sway1,23.773684210526312,93.84210526315789,984.4736842105264,14.71578947368421,5.0,4,19
xpln1,22.66842105263158,112.94736842105263,1000.6315789473684,15.352631578947367,5.0,4,19
sway2,33.55789473684211,123.82105263157894,1491.6315789473683,18.026315789473685,0.8421052631578947,4,19
xpln2,31.736842105263158,133.49473684210525,1373.4736842105262,17.942105263157895,0.8421052631578947,4,19
top,2.2,8.400000000000002,69.0,6.599999999999997,93.0,4,19
all,47.5,252.0,2007.0,21.39999999999999,0.0,4,20
sway1,24.484999999999996,99.65,1012.9,15.044999999999998,5.0,4,20
xpln1,22.335,113.0,994.95,15.404999999999998,5.0,4,20
sway2,32.53,120.63,1451.2,17.865000000000002,0.8,4,20
xpln2,31.115,129.82,1338.95,17.794999999999998,0.8,4,20
top,2.2,8.400000000000002,69.0,6.599999999999997,93.0,4,20
