type,Kloc+,Effort-,Defects-,Months-,Avg evals,budget,run
xpln1,37.77777777777778,221.95555555555555,1560.888888888889,19.266666666666666,5.0,2,9
sway2,4.944444444444445,40.044444444444444,298.44444444444446,11.566666666666666,2.111111111111111,2,9
xpln2,32.88333333333333,220.55555555555554,1584.0,20.27777777777778,2.111111111111111,2,9
top,0.9000000000000001,8.4,28.0,4.8999999999999995,93.0,2,9
all,47.5,252.0,2007.0,21.400000000000002,0.0,2,10
sway1,8.39,34.36,359.1,11.02,5.0,2,10
xpln1,36.1,211.16,1510.6,19.359999999999996,5.0,2,10
sway2,5.7299999999999995,42.239999999999995,332.2,11.77,2.1,2,10
xpln2,32.795,215.5,1587.5,20.119999999999997,2.1,2,10
top,0.9000000000000001,8.400000000000002,28.0,4.8999999999999995,93.0,2,10
all,47.5,252.0,2007.0,21.400000000000002,0.0,2,11
sway1,7.827272727272728,32.0,332.72727272727275,10.618181818181817,5.0,2,11
xpln1,34.09090909090909,197.4181818181818,1413.0,18.727272727272723,5.0,2,11
sway2,6.372727272727272,44.03636363636363,359.8181818181818,11.936363636363636,2.090909090909091,2,11
xpln2,31.568181818181817,213.36363636363637,1551.4545454545455,19.99090909090909,2.090909090909091,2,11
top,0.9000000000000002,8.400000000000002,28.0,4.8999999999999995,93.0,2,11
all,47.5,252.0,2007.0,21.400000000000002,0.0,2,12
sway1,10.008333333333335,35.333333333333336,434.5833333333333,11.08333333333333,5.0,2,12
xpln1,39.583333333333336,230.96666666666667,1671.1666666666667,19.63333333333333,5.0,2,12
sway2,6.908333333333332,45.53333333333333,382.8333333333333,12.074999999999998,2.0833333333333335,2,12
xpln2,31.65416666666667,211.58333333333334,1555.0,19.924999999999997,2.0833333333333335,2,12
top,0.9000000000000002,8.400000000000002,28.0,4.8999999999999995,93.0,2,12
all,47.5,252.0,2007.0,21.4,0.0,2,13
sway1,9.815384615384616,38.15384615384615,418.53846153846155,11.276923076923074,5.0,2,13
xpln1,37.11538461538461,218.73846153846154,1560.0,19.169230769230765,5.0,2,13
sway2,7.36153846153846,46.8,402.3076923076923,12.19230769230769,2.076923076923077,2,13
xpln2,31.680769230769233,208.3846153846154,1559.923076923077,19.830769230769228,2.076923076923077,2,13
top,0.9000000000000002,8.400000000000002,28.0,4.8999999999999995,93.0,2,13
all,47.5,252.0,2007.0,21.4,0.0,2,14
sway1,9.271428571428572,36.028571428571425,393.57142857142856,10.94285714285714,5.0,2,14
xpln1,35.15714285714286,205.68571428571428,1470.142857142857,18.585714285714282,5.0,2,14
sway2,6.8999999999999995,44.05714285714286,375.57142857142856,11.671428571428569,1.9285714285714286,2,14
xpln2,31.13214285714286,198.64285714285714,1506.2142857142858,19.507142857142856,1.9285714285714286,2,14
top,0.9000000000000002,8.400000000000002,28.0,4.8999999999999995,93.0,2,14
all,47.5,252.0,2007.0,21.399999999999995,0.0,2,15
sway1,8.853333333333333,36.16,382.73333333333335,11.01333333333333,5.0,2,15
xpln1,36.34666666666667,223.97333333333333,1571.0666666666666,19.35333333333333,5.0,2,15
sway2,7.293333333333333,45.25333333333333,392.93333333333334,11.799999999999999,1.9333333333333333,2,15
xpln2,31.19,196.73333333333332,1513.7333333333333,19.45333333333333,1.9333333333333333,2,15
top,0.9000000000000002,8.400000000000002,28.0,4.9,93.0,2,15
all,47.5,252.0,2007.0,21.399999999999995,0.0,2,16
sway1,8.675,35.4,370.5625,10.943749999999998,5.0,2,16
