type,NUMBERITERATIONS-,TIMETOSOLUTION-,Avg evals,budget,run
xpln1,5.3,123.72500000000002,10.0,10,10
sway2,5.5,102.476,3.0,10,10
xpln2,5.2,109.792,3.0,10,10
top,4.0,73.38,1000.0,10,10
all,6.818181818181818,134.57363636363635,0.0,10,11
sway1,5.636363636363637,117.96,10.0,10,11
xpln1,5.2727272727272725,121.8318181818182,10.0,10,11
sway2,5.545454545454546,100.8809090909091,3.090909090909091,10,11
xpln2,5.2727272727272725,108.13363636363637,3.090909090909091,10,11
top,4.0,73.61272727272727,1000.0,10,11
all,6.833333333333333,134.47583333333333,0.0,10,12
sway1,5.583333333333333,121.71749999999999,10.0,10,12
xpln1,5.25,122.23166666666668,10.0,10,12
sway2,5.5,101.38083333333334,3.0833333333333335,10,12
xpln2,5.333333333333333,107.51333333333334,3.0833333333333335,10,12
top,4.0,73.6075,1000.0,10,12
all,6.846153846153846,134.3776923076923,0.0,10,13
sway1,5.538461538461538,121.7853846153846,10.0,10,13
xpln1,5.3076923076923075,124.14769230769231,10.0,10,13
sway2,5.615384615384615,99.81076923076924,3.076923076923077,10,13
xpln2,5.384615384615385,105.62692307692308,3.076923076923077,10,13
top,4.0,73.76846153846154,1000.0,10,13
all,6.857142857142857,134.58642857142857,0.0,10,14
sway1,5.428571428571429,121.4192857142857,10.0,10,14
xpln1,5.357142857142857,125.285,10.0,10,14
sway2,5.642857142857143,100.8457142857143,3.0,10,14
xpln2,5.428571428571429,107.12571428571428,3.0,10,14
top,4.0,74.00357142857142,1000.0,10,14
all,6.866666666666666,134.60600000000002,0.0,10,15
sway1,5.4,120.16599999999998,10.0,10,15
xpln1,5.4,123.73466666666667,10.0,10,15
sway2,5.6,102.31466666666668,3.1333333333333333,10,15
xpln2,5.4,109.02,3.1333333333333333,10,15
top,4.0,74.48866666666666,1000.0,10,15
all,6.875,134.43125,0.0,10,16
sway1,5.4375,122.88874999999999,10.0,10,16
xpln1,5.375,122.719375,10.0,10,16
sway2,5.625,104.25375000000001,3.125,10,16
xpln2,5.375,111.424375,3.125,10,16
top,4.0,74.89,1000.0,10,16
all,6.882352941176471,134.30823529411765,0.0,10,17
sway1,5.470588235294118,120.81529411764704,10.0,10,17
xpln1,5.588235294117647,121.89588235294117,10.0,10,17
sway2,5.705882352941177,104.33176470588236,3.0588235294117645,10,17
xpln2,5.352941176470588,110.72294117647058,3.0588235294117645,10,17
top,4.0,74.81882352941177,1000.0,10,17
all,6.888888888888889,134.09555555555556,0.0,10,18
sway1,5.444444444444445,119.27166666666666,10.0,10,18
xpln1,5.611111111111111,123.55000000000001,10.0,10,18
sway2,5.722222222222222,103.58,3.1666666666666665,10,18
xpln2,5.388888888888889,109.69611111111111,3.1666666666666665,10,18
top,4.0,75.05222222222223,1000.0,10,18
all,6.842105263157895,133.76421052631582,0.0,10,19
sway1,5.473684210526316,119.84526315789473,10.0,10,19
xpln1,5.578947368421052,125.01631578947368,10.0,10,19
sway2,5.684210526315789,104.90315789473685,3.1578947368421053,10,19
xpln2,5.368421052631579,111.67105263157895,3.1578947368421053,10,19
top,4.0,74.99105263157895,1000.0,10,19
all,6.85,133.99500000000003,0.0,10,20
sway1,5.5,119.89349999999999,10.0,10,20
xpln1,5.55,124.61299999999999,10.0,10,20
sway2,5.75,104.38700000000001,3.15,10,20
xpln2,5.4,110.74300000000001,3.15,10,20
top,4.0,75.12250000000002,1000.0,10,20
